User_ID,Avg_Purchase_Amount,ProductCategory_Diversity,Num_Transactions,Gender,Age,Occupation,City_Category,Marital_Status,Stay_In_Current_City_Years,Most_Frequent_CategoryID,Cat_SpendProp_1,Cat_SpendProp_2,Cat_SpendProp_3,Cat_SpendProp_4,Cat_SpendProp_5,Cat_SpendProp_6,Cat_SpendProp_7,Cat_SpendProp_8,Cat_SpendProp_9,Cat_SpendProp_10,Cat_SpendProp_11,Cat_SpendProp_12,Cat_SpendProp_13,Cat_SpendProp_14,Cat_SpendProp_15,Cat_SpendProp_16,Cat_SpendProp_17,Cat_SpendProp_18,Cat_SpendProp_19,Cat_SpendProp_20,CLV
1000001,9545.514285714286,11,35,F,0-17,10,A,0,2,3,0.18439177115354108,0.03843839888893212,0.3587593873562152,0.01679771800067646,0.04713956892242579,0.049752613793165375,0.0,0.2081516224524309,0.0,0.0,0.0,0.012553390822315942,0.0,0.032957888971035014,0.0,0.04922581436905293,0.0,0.0,0.0,0.0018318252702091932,334093
1000002,10525.61038961039,6,77,M,55+,16,C,0,4+,1,0.5104050479226919,0.019581182323386865,0.0,0.0,0.09931249938307554,0.1110402333455073,0.0,0.25951420900413585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001468280212024598,810472
1000003,11780.51724137931,6,29,M,26-35,15,A,0,3,1,0.6690707919270567,0.08504397968592212,0.031922958713246595,0.0,0.18565428015279464,0.0,0.0,0.01702694396065977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011281045560320224,0.0,0.0,341635
1000004,14747.714285714286,2,14,M,46-50,7,B,1,2,1,0.9976703411666699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002329658833330104,206468
1000005,7745.292452830188,12,106,M,26-35,20,A,1,1,8,0.23678533887291245,0.0318294374793697,0.013216792671385296,0.009434824074513917,0.14180737904095123,0.08007298407675509,0.09129586931075602,0.3173577133279984,0.0,0.0,0.012847731001545674,0.0,0.0,0.013501810594627777,0.0211619717880977,0.030688147761086772,0.0,0.0,0.0,0.0,821001
1000006,8083.617021276596,10,47,F,51-55,9,A,0,1,5,0.32674176822046164,0.09474640065275182,0.1561182323059511,0.033090306109020085,0.19983944410812518,0.021609243808069906,0.0,0.1304134972231727,0.0,0.0,0.0,0.012007475061195483,0.0,0.0,0.0,0.0,0.0,0.02417024188666333,0.0,0.00126339062458874,379930
1000007,13804.0,4,17,M,36-45,1,B,1,1,1,0.9376395588661428,0.0,0.0,0.0,0.029880512042545212,0.0,0.0,0.0,0.0,0.0,0.031452946290077895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001026982801234084,234668
1000008,10345.363636363636,7,77,M,26-35,12,C,1,4+,8,0.4360445045336828,0.02001147386431967,0.01665216741799137,0.0,0.057601560646402865,0.06546379393240966,0.0,0.40416624298732223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0256617871359654e-05,0.0,796593
1000009,10243.086206896553,9,58,M,26-35,17,C,0,0,8,0.25176443656696945,0.0,0.09080641441914564,0.0,0.0860748797759296,0.1999532064521233,0.02840267362846933,0.2643801790610656,0.0,0.0,0.0,0.0,0.0,0.0,0.029266166076697655,0.049118076280215923,0.0,0.0,0.0,0.00023396773938350342,594099
1000010,9728.744394618834,14,223,F,36-45,1,B,1,4+,5,0.3223377629049878,0.11865674737613563,0.08632594456812828,0.008084774903088716,0.270487806002277,0.011459730538232136,0.009659784928393969,0.15293868200653604,0.0,0.0,0.0021083101714211966,0.004681702319878682,0.0003539969854944204,0.010527722849860107,0.0,0.0,0.002365972039769349,0.0,1.1062405796700638e-05,0.0,2169510
